Supermarket,Category,Subcategory,Product,Specs,Price,img_link,Time
Mercadona,Fruta,Plátano y uva,Plátano,Pieza 160 g aprox.,"0,30 €",https://prod-mercadona.imgix.net/images/686b751a3e806d7775c5675942b8a2f4.jpg?fit=crop&h=300&w=300,2021-03-27
Mercadona,Fruta,Plátano y uva,Banana,Pieza 190 g aprox.,"0,19 €",https://prod-mercadona.imgix.net/images/69edef3541bbf3f4b7173c9d617a5698.jpg?fit=crop&h=300&w=300,2021-03-27
Mercadona,Fruta,Plátano y uva,Plátano macho,Pieza 310 g aprox.,"0,60 €",https://prod-mercadona.imgix.net/images/c22baa2a17de06fbf8477ef25392b7ca.jpg?fit=crop&h=300&w=300,2021-03-27
Mercadona,Fruta,Plátano y uva,Uva blanca sin semillas,Bandeja 500 g aprox.,"2,25 €",https://prod-mercadona.imgix.net/images/7b5610514b8fc646d0a02def291b8b6d.jpg?fit=crop&h=300&w=300,2021-03-27
Mercadona,Fruta,Plátano y uva,Uva negra sin semillas,Bandeja 500 g aprox.,"2,25 €",https://prod-mercadona.imgix.net/images/03e5b8dfe12603855c5c3e1cfbfebc28.jpg?fit=crop&h=300&w=300,2021-03-27
Mercadona,Fruta,Plátano y uva,Uva roja sin semillas,Bandeja 500 g aprox.,"2,25 €",https://prod-mercadona.imgix.net/images/527c0a13ecf06d5097438cd2e8a9ef07.jpg?fit=crop&h=300&w=300,2021-03-27
Mercadona,Fruta,Manzana y pera,Manzana golden,Pieza 210 g aprox.,"0,33 €",https://prod-mercadona.imgix.net/images/53687de52a3b197dc1d7c3417d693ef8.jpg?fit=crop&h=300&w=300,2021-03-27
Mercadona,Fruta,Manzana y pera,Manzanas golden,"Bolsa 1,5 kg aprox.","1,79 €",https://prod-mercadona.imgix.net/images/59658e20cce6ca40e294edbe32d8b609.jpg?fit=crop&h=300&w=300,2021-03-27
Mercadona,Fruta,Manzana y pera,Pera conferencia,Pieza 200 g aprox.,"0,34 €",https://prod-mercadona.imgix.net/images/ee3e71e5011511764af6ba3edc41f4d2.jpg?fit=crop&h=300&w=300,2021-03-27
Mercadona,Fruta,Manzana y pera,Peras conferencia,"1,5 kg aprox.","2,03 €",https://prod-mercadona.imgix.net/images/51032a014399414f057b3020a930bf6b.jpg?fit=crop&h=300&w=300,2021-03-27
Mercadona,Fruta,Manzana y pera,Manzana fuji,Pieza 200 g aprox.,"0,36 €",https://prod-mercadona.imgix.net/images/52a4d34c92d6aeeb8c9a8892a3c8f769.jpg?fit=crop&h=300&w=300,2021-03-27
Mercadona,Fruta,Manzana y pera,Manzanas fuji,"Bolsa 1,5 kg aprox.","2,39 €",https://prod-mercadona.imgix.net/images/109e5d1ac2ac11b70a0e8ffbaf2e371d.jpg?fit=crop&h=300&w=300,2021-03-27
Mercadona,Fruta,Manzana y pera,Manzana royal gala,Pieza 230 g aprox.,"0,38 €",https://prod-mercadona.imgix.net/images/966d3b08efd621e942126a54e6b81ed4.jpg?fit=crop&h=300&w=300,2021-03-27
